,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
8856,NONE,wMGE7-I-c5J_5DWTQCq6oKVBuCaH3kp9MMp3jHuriMaB9g,99,2,2,3,2,1,8876,2694,583,2624,5298,10,5,27,33,3098,3174,3117,1082,1052,2055,3364,Lux
8973,NONE,3Yoq1k11ubzO7fjCx9A-9SqfFPAI5neSuOIsiZ422HqHeQ,99,2,1,15,2,1,6807,2336,1753,4529,6554,10,3,34,42,3098,3117,3174,2055,3114,3113,3364,Lux
9013,NONE,taavgGfnngLRlOd27cK3LK6puPXC3NwX-MmoThGGTpfvewg,497,0,4,4,0,0,4493,0,0,6763,3921,8,2,16,11,3098,3117,0,3105,1029,0,3364,Rakan
9020,NONE,6nmL6UsF78AYnqxIo8x_K5pzhSXJmLPAgPpfrRgOt-fhmZA,497,3,3,15,2,1,4213,7557,2971,8886,7244,11,2,28,10,3117,3050,1082,3092,3114,2055,3364,Rakan
9028,NONE,f0xr_PUM7vuIKCUL8pIsf86hrpsnJuu1N7xNOD4_GGbc40E,555,1,1,4,0,1,1993,1695,1695,7485,4312,9,3,16,3,3117,3134,3097,0,0,0,3364,Pyke
9048,NONE,gjWYICcl8GZp4sWoDNp8np8ezZDT7pu_0OzRJUxqyT8,412,1,5,6,0,1,4081,646,0,10313,4638,9,6,22,23,3069,2031,3117,2010,3067,2055,3364,Thresh
9066,NONE,3Yoq1k11ubzO7fjCx9A-9SqfFPAI5neSuOIsiZ422HqHeQ,99,1,3,0,0,1,1846,128,0,2592,2603,5,4,7,13,3098,3117,0,2055,0,0,3340,Lux
9088,NONE,a_DStezzuo-mvMSf7bINwaXJoyJZ4e45YVpByCjsnu_8PPnsWSJQPlmg,37,0,4,1,0,0,3674,61,0,9602,3561,9,4,9,5,2055,2424,3098,2010,3158,3070,3364,Sona
9090,NONE,SsBZXARkTu7OhAGLxrVBeAPxvlftj8ITuYyYOe_DWNJqgyaS5hWFGFtG,555,3,5,2,0,1,3045,471,119,11107,4469,7,0,3,13,3077,3117,3096,1036,1036,0,3340,Pyke
9094,NONE,SeFOLT7VgmD1IwbpHY79hHEpaPze2K8GC1J-4YYkMWucUa0,16,1,6,5,0,1,3992,424,424,7744,3985,7,1,16,24,3114,1052,3098,3047,2010,1082,3340,Soraka
