,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
2934,JUNGLE,FTI4_S0T0jpoqzGpx6aobRo2wJw6MO5VVRA051519tO6rsU,113,2,3,3,0,1,5050,3172,149,16678,6497,11,1,18,14,1401,2031,3111,3067,1011,3801,3364,Sejuani
2940,JUNGLE,3UQET0Aaw43bYPvxN7KVEC9KK41U0VG_PbO4wGtr-_x3ZX4,421,7,3,1,3,1,7626,16072,271,23233,9421,13,5,13,10,3071,1400,2420,3155,3111,2055,3364,RekSai
2944,JUNGLE,4SRVvyMdKfJoRonmm5JdzHMShSFLNfo94N5-rsozftfa8Se0uUcnM0ym,64,13,7,13,6,1,25070,20814,2187,38374,16460,17,11,32,23,1400,3140,3026,3111,3071,3074,3340,LeeSin
2945,JUNGLE,l16rNG7e3jWtOOZWpwzYTYMeBbuANzbXZ4T_STCjRORYWA,154,5,3,14,3,1,14264,14888,550,34902,11188,15,3,28,44,1401,3083,2055,3111,3065,3076,3364,Zac
2946,JUNGLE,BTxv7HMHOmHSXv-_P5Z6JRWnmXZ3HayvUgEfp3q2WccqQcA,421,4,7,6,0,1,10398,16370,0,29684,9923,13,3,24,12,1400,3026,0,3047,3071,0,3340,RekSai
2954,JUNGLE,-sqsqWB0kBVr2-jx2hpKKIni9NBSy1mAPZKNhezNQkZ8Oac,113,8,5,7,3,2,13970,13172,0,27157,9748,13,10,32,33,1401,3083,2055,1011,3082,3047,3364,Sejuani
2974,JUNGLE,lm0N_Y0JWKnCFw6bWRmEY8s5bqW8YOp0lQhrP-9o0EcvqQ,113,11,3,21,4,2,23089,23475,2438,34902,14459,16,7,44,44,1401,3065,3109,0,3083,3047,3364,Sejuani
2975,JUNGLE,5NCBdMFho2dij664HNwIi5DChiJpwRELq9FDGYc6kSc7vNM,120,6,4,4,6,1,19851,9947,0,27712,9826,13,4,23,18,1412,3078,0,3047,3211,3123,3364,Hecarim
2977,JUNGLE,ph4f527t_Thv0SI4bbuw2jd6M3Uz1q4Q0Rjvzl--91iLUV8,113,5,1,12,3,1,6466,28692,5068,21741,10517,13,4,25,14,1413,2031,0,3083,3025,3111,3364,Sejuani
3009,JUNGLE,Md11gS6oZzuEGHbMdY5rFSgLC7uTzP6bMOIlrVy9mQjxzgg,113,3,4,14,2,1,12388,7540,0,22719,10618,14,2,11,33,2031,1401,3065,3025,3111,1029,3364,Sejuani
3011,JUNGLE,itzHidqXcQ75t0xGnrVuWIN2JBazCSpPkbNJAH7SIHZDXsg,113,2,7,2,0,1,9087,3809,0,30610,7446,12,4,13,24,3143,2031,3047,1413,0,1028,3340,Sejuani
3023,JUNGLE,XliGmUN_gWrTElHYCsBZAo3Sr3I7HLagOjae0TBEFY6ozg,64,4,6,18,3,1,19982,16036,76,37471,11683,16,5,23,17,1412,3026,0,3047,3071,1031,3340,LeeSin
