,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
4174,MIDDLE,mYXAG2pxtnLB2OL1J07x1YS0e37PkCmtsOlS9PHdcu_jL40,268,6,1,4,6,2,13977,15899,6251,13046,9954,14,2,21,9,1056,3115,3020,1052,3135,3101,3340,Azir
4176,MIDDLE,vagpUmmRyf4NJK8YI6dhPCRt-kR9KV1FFgi2QVRS4EWY_qgfDnE2hym5,13,5,3,16,4,2,21948,10817,1686,14818,10607,14,2,15,18,3040,2421,2031,3111,3027,1058,3363,Ryze
4185,MIDDLE,UydKp9BHPAnbCaRAXiUcliLi5c6U-74ywcOaMavXbA,157,3,9,3,0,1,11484,4027,1438,22611,11222,15,7,22,7,3031,3052,1037,1055,3006,3087,3340,Yasuo
4222,MIDDLE,NPSBiM66QZlfpSbjh1P-h6LiMI6hALoaiawz1WSRya_mCuI,4,9,7,14,3,1,29933,13457,6466,34779,21397,18,8,72,58,3031,3139,3094,3047,3091,3078,3340,TwistedFate
4287,MIDDLE,SqfnD-vP44mjlMQw_5v8odJAb4Pjq-fqRopH3BPClzurU6Y,518,6,8,4,3,1,12386,538,538,14281,7090,11,0,8,36,3161,1038,0,0,0,0,3340,Neeko
4308,MIDDLE,58KXtoMDsQgPU0GMrrv2po1_whZv4tqkUeE94SrH_CXUhg,38,2,8,1,0,1,6724,585,585,17016,7692,13,3,10,8,3157,3003,2055,1082,1001,0,3363,Kassadin
4345,MIDDLE,JJ2fWYg5cDeEc9qSogrtJ9_JnRev0a8SNtvoDL2QOVgRA9Q,13,4,4,9,2,2,17040,6631,1665,18744,9240,13,5,15,12,3020,2031,3040,1052,0,3027,3340,Ryze
4362,MIDDLE,WmNrrK2jaiUL3GYjiaOBWBsnbCkZh1s30ZJprxY9hYByvt6-xALO_D4q,84,3,5,6,2,2,20206,1098,797,28890,12391,16,5,41,10,3157,3020,3146,3151,1028,1052,3364,Akali
4370,MIDDLE,5hdtcQJxQIxhBgy1JZabLiVvmZaC6WbFQGXKbEfA3971yw,112,5,3,5,5,1,14386,10340,3781,11033,9775,14,4,19,15,3057,1052,3116,3158,1056,3198,3363,Viktor
4371,MIDDLE,_sVU2gU9ULAv4tmUkIs1uTDHP0y_AWDEyQNotrOYrXjmPz0,42,11,6,13,3,2,26344,10661,3306,20044,14623,16,2,29,0,3020,2421,1052,3078,3031,3094,3340,Corki
4382,MIDDLE,ezr3R-bjAqh7G4lhW4q6PbKSkKmtPVB0Qn-Fwhe8xCXddg,142,0,4,5,0,0,10424,3432,1702,11247,7097,13,4,15,19,2055,2033,3916,1082,3020,1402,3363,Zoe
4384,MIDDLE,UN8PNpQuCe6WLQBaFE0eRhtLACc14rxjocGoVC_UmFzXR8Y,157,8,9,11,4,2,21319,7834,469,27511,14615,16,1,17,26,3123,3031,3047,3053,3087,1031,3340,Yasuo
4388,MIDDLE,V2sGT1QLrFWrPeNzirhCkrRo2YxfHsf8lpmM__aDy21yUQ,90,5,5,12,2,1,26836,12813,4478,17643,14249,17,3,34,73,1056,3151,3116,3135,3285,3020,3340,Malzahar
4390,MIDDLE,mYXAG2pxtnLB2OL1J07x1YS0e37PkCmtsOlS9PHdcu_jL40,268,6,6,6,5,3,24619,9010,3408,17721,12989,16,1,14,12,1056,3157,3115,3140,3102,3020,3340,Azir
